name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
Orlando Magic,Amway Center,82,19755,3076,6792,0.453,554,1598,0.347,2522,5194,0.486,1141,1565,0.729,822,2607,3429,1692,647,314,1221,1714,7847,2014/2015,53338463,2666923.15,3.73,24.93,,0,0
Toronto Raptors,Air Canada Centre,82,19855,3108,6829,0.455,726,2060,0.352,2382,4769,0.499,1585,2014,0.787,881,2526,3407,1701,615,357,1057,1712,8527,2014/2015,75562364,4444844.94,4.6,25.93,,0,0
Los Angeles Lakers,STAPLES Center,82,19930,3054,7020,0.435,532,1546,0.344,2522,5474,0.461,1433,1935,0.741,952,2647,3599,1715,578,366,1086,1741,8073,2014/2015,70914495,3939694.17,4.28,25.89,,0,0
Charlotte Hornets,Time Warner Cable Arena,82,19905,2913,6932,0.42,498,1566,0.318,2415,5366,0.45,1397,1867,0.748,820,2793,3613,1654,499,448,976,1494,7721,2014/2015,75954458,4219692.11,4.47,26.12,,0,0
Sacramento Kings,Sleep Train Arena,82,19855,3010,6617,0.455,461,1350,0.341,2549,5267,0.484,1829,2400,0.762,895,2728,3623,1667,550,324,1333,1696,8310,2014/2015,73675912,3877679.58,4.42,26.11,,0,0
Utah Jazz,EnergySolutions Arena,82,19705,2900,6492,0.447,610,1781,0.343,2290,4711,0.486,1391,1929,0.721,988,2617,3605,1632,623,489,1256,1583,7801,2014/2015,59061387,2567886.39,1.73,24,,0,0
Washington Wizards,Verizon Center,82,19955,3139,6790,0.462,497,1381,0.36,2642,5409,0.488,1305,1758,0.742,862,2801,3663,1969,601,378,1233,1707,8080,2014/2015,83108421,4617134.5,7.11,28.61,,0,0
Boston Celtics,TD Garden,82,19880,3193,7211,0.443,660,2021,0.327,2533,5190,0.488,1266,1678,0.754,910,2685,3595,2009,674,294,1133,1738,8312,2014/2015,61092622,2909172.48,4.55,26.18,,0,0
Phoenix Suns,US Airways Center,82,19880,3178,7038,0.452,698,2048,0.341,2480,4990,0.497,1343,1767,0.76,896,2643,3539,1659,700,385,1238,1744,8397,2014/2015,66503432,3022883.27,3.22,25.7,,0,0
Los Angeles Clippers,STAPLES Center,82,19730,3228,6830,0.473,827,2202,0.376,2401,4628,0.519,1468,2067,0.71,784,2711,3495,2031,640,409,1012,1749,8751,2014/2015,80901123,4257953.84,6.3,28.05,,0,0
Golden State Warriors,Oracle Arena,82,19730,3410,7137,0.478,883,2217,0.398,2527,4920,0.514,1313,1709,0.768,853,2814,3667,2248,762,496,1185,1628,9016,2014/2015,73623654,3874929.16,5,26.73,,1,1
Chicago Bulls,United Center,82,19880,3001,6797,0.442,645,1825,0.353,2356,4972,0.474,1618,2067,0.783,959,2792,3751,1781,514,476,1145,1495,8265,2014/2015,81244225,5077764.06,5.86,28.29,,0,0
Houston Rockets,Toyota Center,82,19805,3032,6832,0.444,933,2680,0.348,2099,4152,0.506,1525,2133,0.715,958,2624,3582,1820,777,407,1366,1803,8522,2014/2015,87299371,3968153.23,4.05,26.65,,0,0
Atlanta Hawks,Philips Arena,82,19730,3121,6699,0.466,818,2152,0.38,2303,4547,0.506,1349,1735,0.778,715,2611,3326,2111,744,380,1167,1457,8409,2014/2015,58337671,3431627.71,4.75,27,,0,0
Detroit Pistons,The Palace of Auburn Hills,82,19830,3041,7038,0.432,703,2043,0.344,2338,4995,0.468,1292,1838,0.703,1051,2630,3681,1771,623,383,1099,1559,8077,2014/2015,66738182,4171136.38,5,27,,0,0
Milwaukee Bucks,BMO Harris Bradley Center,82,19930,3083,6722,0.459,545,1500,0.363,2538,5222,0.486,1312,1734,0.757,876,2574,3450,1932,789,403,1373,1814,8023,2014/2015,61443341,2925873.38,3.55,24.85,,0,0
San Antonio Spurs,AT&T Center,82,19955,3208,6854,0.468,677,1847,0.367,2531,5007,0.505,1368,1754,0.78,806,2772,3578,2000,657,444,1146,1564,8461,2014/2015,69614583,3867476.83,6.24,28.47,,0,0
Brooklyn Nets,Barclays Center,82,19930,3069,6804,0.451,541,1633,0.331,2528,5171,0.489,1359,1817,0.748,846,2627,3473,1716,576,340,1133,1579,8038,2014/2015,91873492,5742093.25,5,27.53,,0,0
Miami Heat,AmericanAirlines Arena,82,19730,2885,6330,0.456,556,1659,0.335,2329,4671,0.499,1438,1940,0.741,747,2461,3208,1626,642,372,1214,1636,7764,2014/2015,82351805,4844223.82,5.38,27.52,,0,0
Cleveland Cavaliers,Quicken Loans Arena,82,19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457,2014/2015,82038768,5469251.2,6.45,27.95,,1,0
Dallas Mavericks,American Airlines Center,82,19880,3255,7036,0.463,732,2082,0.352,2523,4954,0.509,1386,1843,0.752,858,2608,3466,1846,663,371,1062,1644,8628,2014/2015,83970065,3998574.52,7.26,28.58,,0,0
Indiana Pacers,Bankers Life Fieldhouse,82,19855,2998,6824,0.439,612,1740,0.352,2386,5084,0.469,1373,1817,0.756,856,2822,3678,1757,505,375,1147,1742,7981,2014/2015,75174324,5011621.6,4.81,27.81,,0,0
Philadelphia 76ers,Wells Fargo Center,82,19805,2765,6777,0.408,692,2160,0.32,2073,4617,0.449,1320,1953,0.676,978,2536,3514,1683,789,487,1453,1778,7542,2014/2015,56455990,2090962.59,1.92,23.88,,0,0
New Orleans Pelicans,Smoothie King Center,82,19780,3108,6795,0.457,586,1583,0.37,2522,5212,0.484,1345,1790,0.751,942,2621,3563,1806,553,510,1087,1530,8147,2014/2015,69390028,3652106.74,3.67,25.48,,0,0
Portland Trail Blazers,Moda Center,82,19855,3175,7049,0.45,807,2231,0.362,2368,4818,0.491,1272,1589,0.801,879,2881,3760,1799,525,372,1117,1494,8429,2014/2015,92220907,5424759.24,4.61,26.39,,0,0
Denver Nuggets,Pepsi Center,82,19880,3099,7158,0.433,660,2032,0.325,2439,5126,0.476,1462,1991,0.734,1012,2653,3665,1788,641,367,1166,1882,8320,2014/2015,56278056,2962002.95,4.2,25.85,,0,0
Minnesota Timberwolves,Target Center,82,19805,2986,6820,0.438,406,1223,0.332,2580,5597,0.461,1638,2110,0.776,949,2406,3355,1771,668,327,1231,1571,8016,2014/2015,64733364,3596298,3.68,25.96,,0,0
Oklahoma City Thunder,Chesapeake Energy Arena,82,19830,3184,7119,0.447,632,1864,0.339,2552,5255,0.486,1524,2020,0.754,1052,2844,3896,1681,598,454,1205,1829,8524,2014/2015,78791632,4924477,4.33,25.52,,0,0
Memphis Grizzlies,FedEx Forum,82,19905,3097,6763,0.458,423,1246,0.339,2674,5517,0.485,1445,1869,0.773,856,2634,3490,1777,700,347,1094,1567,8062,2014/2015,75341226,4185623.67,5.63,27.68,,0,0
New York Knicks,Madison Square Garden (IV),82,19855,2882,6726,0.428,560,1614,0.347,2322,5112,0.454,1211,1575,0.769,867,2443,3310,1746,575,382,1206,1768,7535,2014/2015,83022165,4151108.25,4.75,27.25,,0,0
