name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
Atlanta Hawks,Philips Arena,82,19855,3084,6644,0.464,706,1901,0.371,2378,4743,0.501,1158,1619,0.715,758,2593,3351,2007,664,369,1219,1473,8032,2012/2013,66768365,3709353.61,5.33,26.89,,0,0
Cleveland Cavaliers,Quicken Loans Arena,82,19730,2993,6901,0.434,547,1581,0.346,2446,5320,0.46,1380,1826,0.756,1004,2359,3363,1694,647,334,1149,1737,7913,2012/2013,68428583,3258503.95,3.26,24.95,,0,0
Detroit Pistons,The Palace of Auburn Hills,82,19805,2979,6638,0.449,513,1440,0.356,2466,5198,0.474,1307,1870,0.699,991,2463,3454,1742,574,400,1241,1623,7778,2012/2013,63057497,4504106.93,3.88,25.88,,0,0
Utah Jazz,EnergySolutions Arena,82,19880,3046,6710,0.454,507,1385,0.366,2539,5325,0.477,1439,1883,0.764,989,2457,3446,1859,690,515,1210,1750,8038,2012/2013,64717649,4978280.69,4.79,26,,0,0
Oklahoma City Thunder,Chesapeake Energy Arena,82,19830,3126,6504,0.481,598,1588,0.377,2528,4916,0.514,1819,2196,0.828,854,2725,3579,1753,679,624,1253,1654,8669,2012/2013,67863244,4524216.27,4.62,25.75,,0,0
Denver Nuggets,Pepsi Center,82,19905,3339,6983,0.478,521,1518,0.343,2818,5465,0.516,1505,2148,0.701,1092,2601,3693,2002,762,533,1253,1682,8704,2012/2013,68566062,4285378.88,3.67,24.73,,0,0
Brooklyn Nets,Barclays Center,82,19855,2942,6544,0.45,628,1760,0.357,2314,4784,0.484,1432,1958,0.731,1047,2460,3507,1668,599,391,1206,1500,7944,2012/2013,84290205,5268137.81,5.76,27.53,,0,0
Los Angeles Lakers,STAPLES Center,82,19755,3041,6640,0.458,715,2015,0.355,2326,4625,0.503,1584,2289,0.692,942,2732,3674,1818,576,429,1232,1467,8381,2012/2013,100451593,6696772.87,6.75,28.25,,0,0
Phoenix Suns,US Airways Center,82,19805,3061,6917,0.443,480,1455,0.33,2581,5462,0.473,1203,1618,0.744,959,2454,3413,1855,659,434,1278,1688,7805,2012/2013,60844774,3380265.22,3.88,26.25,,0,0
Los Angeles Clippers,STAPLES Center,82,19730,3160,6608,0.478,627,1752,0.358,2533,4856,0.522,1342,1888,0.711,938,2475,3413,1958,784,461,1197,1716,8289,2012/2013,74354449,4647153.06,7.73,29.13,,0,0
Golden State Warriors,Oracle Arena,82,19805,3130,6840,0.458,658,1632,0.403,2472,5208,0.475,1378,1744,0.79,885,2801,3686,1845,567,346,1236,1753,8296,2012/2013,69695346,5361180.46,3.39,25.12,,0,0
Boston Celtics,TD Garden,81,19840,3001,6459,0.465,498,1390,0.358,2503,5069,0.494,1318,1698,0.776,654,2533,3187,1843,667,365,1181,1717,7818,2012/2013,73021989,3843262.58,6,27.45,,0,0
Milwaukee Bucks,BMO Harris Bradley Center,82,19830,3128,7197,0.435,601,1670,0.36,2527,5527,0.457,1251,1700,0.736,1068,2537,3605,1876,685,550,1156,1554,8108,2012/2013,62476395,4165093,5.06,26.72,,0,0
Indiana Pacers,Bankers Life Fieldhouse,81,19590,2845,6525,0.436,555,1599,0.347,2290,4926,0.465,1429,1915,0.746,1043,2671,3714,1645,580,513,1227,1623,7674,2012/2013,66687960,4167997.5,3.38,25.81,,0,0
Washington Wizards,Verizon Center,82,19855,2910,6693,0.435,545,1495,0.365,2365,5198,0.455,1279,1746,0.733,887,2652,3539,1775,598,376,1238,1681,7644,2012/2013,66343388,3317169.4,4.47,26.21,,0,0
New York Knicks,Madison Square Garden (IV),82,19730,2996,6689,0.448,891,2371,0.376,2105,4318,0.487,1313,1729,0.759,890,2436,3326,1579,672,294,988,1650,8196,2012/2013,77970893,5198059.53,8.53,31.32,,0,0
San Antonio Spurs,AT&T Center,82,19880,3210,6675,0.481,663,1764,0.376,2547,4911,0.519,1365,1725,0.791,666,2721,3387,2058,695,446,1206,1427,8448,2012/2013,69787704,4361731.5,5.71,27.56,,1,0
Chicago Bulls,United Center,82,19830,2926,6698,0.437,446,1265,0.353,2480,5433,0.456,1343,1738,0.773,1026,2514,3540,1886,588,417,1171,1617,7641,2012/2013,75627699,5401978.5,6.53,28,,0,0
Minnesota Timberwolves,Target Center,82,19730,2943,6702,0.439,450,1475,0.305,2493,5227,0.477,1515,2042,0.742,973,2473,3446,1836,700,387,1214,1509,7851,2012/2013,69001896,3285804.57,3.63,26.74,,0,0
New Orleans Hornets,New Orleans Arena,82,19780,2955,6589,0.448,535,1474,0.363,2420,5115,0.473,1269,1636,0.776,988,2426,3414,1721,520,440,1193,1673,7714,2012/2013,63901224,3758895.53,2.68,24.74,,0,0
Memphis Grizzlies,FedEx Forum,82,19805,2964,6679,0.444,382,1107,0.345,2582,5572,0.463,1349,1746,0.773,1059,2445,3504,1715,703,436,1144,1660,7659,2012/2013,62954838,4496774.14,4.25,25.5,,0,0
Miami Heat,AmericanAirlines Arena,82,19880,3148,6348,0.496,717,1809,0.396,2431,4539,0.536,1423,1887,0.754,676,2490,3166,1890,710,441,1143,1533,8436,2012/2013,81558311,5097394.44,7.78,29.78,,1,1
Philadelphia 76ers,Wells Fargo Center,82,19755,3059,6895,0.444,518,1438,0.36,2541,5457,0.466,1004,1377,0.729,896,2493,3389,1867,609,384,1070,1505,7640,2012/2013,84032270,4668459.44,4.12,25.53,,0,0
Portland Trail Blazers,Rose Garden Arena,82,19855,3009,6715,0.448,673,1904,0.353,2336,4811,0.486,1304,1680,0.776,874,2474,3348,1784,538,353,1203,1518,7995,2012/2013,73656857,4332756.29,3.27,25,,0,0
Sacramento Kings,Sleep Train Arena,82,19830,3086,6904,0.447,610,1681,0.363,2476,5223,0.474,1437,1869,0.769,943,2385,3328,1708,671,342,1199,1717,8219,2012/2013,54317436,3879816.86,3.65,25.41,,0,0
Houston Rockets,Toyota Center,82,19780,3124,6782,0.461,867,2369,0.366,2257,4413,0.511,1573,2087,0.754,909,2652,3561,1902,679,359,1348,1662,8688,2012/2013,57323787,2492338.57,2.1,24.3,,0,0
Dallas Mavericks,American Airlines Center,82,19980,3182,6892,0.462,606,1628,0.372,2576,5264,0.489,1323,1669,0.793,767,2670,3437,1906,648,454,1144,1698,8293,2012/2013,67399169,3369958.45,6.22,28.61,,0,0
Orlando Magic,Amway Center,82,19780,3093,6904,0.448,506,1537,0.329,2587,5367,0.482,1026,1359,0.755,890,2612,3502,1871,528,358,1191,1591,7718,2012/2013,87114818,4584990.42,3.83,25.28,,0,0
Charlotte Bobcats,Time Warner Cable Arena,82,19805,2823,6649,0.425,469,1399,0.335,2354,5250,0.448,1546,2060,0.75,917,2389,3306,1587,591,479,1153,1561,7661,2012/2013,57491899,3832793.27,4.67,26.22,,0,0
Toronto Raptors,Air Canada Centre,82,19980,2979,6685,0.446,571,1665,0.343,2408,5020,0.48,1442,1831,0.788,871,2426,3297,1765,595,392,1124,1836,7971,2012/2013,66974563,4185910.19,4.39,26,,0,0
